,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5
1293,3040,1,1,1,0,0,63041,5,1138,113,113,113
1294,4040,1,1,1,0,0,6,1129,103,113,112,111
1302,00,2,2,1,0,0,43141,6,1129,112,111,102
1307,00,3,2,1,0,1,4,1029,11403,132,14441,204533034
1309,1515,3,2,1,0,1,63141,5,1038,113,113,113
1310,3015,3,2,1,0,1,4,1138,113,111,101,10403
1314,300,4,2,1,0,0,63141,5,1129,101,102,101
1318,150,4,3,1,0,1,4,1128,101,102,102,101
1322,150,5,3,1,0,0,6,1038,113,102,113,112
1326,00,5,4,1,0,1,6,1327,10401,203,16452,203
1327,150,5,4,1,0,1,6,1028,113,112,113,112
1328,300,5,4,1,0,1,63141,6,1128,112,102,1033035
1329,3015,5,4,1,0,1,53241,4,1137,113,112,101
1332,4040,5,4,1,0,1,5,1128,112,113,113,113
1334,00,0,0,0,0,1,63141,4,102,113,113,111
1335,150,0,0,0,0,1,4,113,103,113,113,113
1341,400,1,0,0,0,0,6,122,101,101,143,213135
1343,150,1,1,0,0,1,42941,4,113,102,103,113
1347,00,2,1,0,0,0,6,111,103,111,103,1333134
1348,150,2,1,0,0,0,62941,4,113,113,103,113
1349,300,2,1,0,0,0,6,112,113,133,113,1112934
1351,4015,2,1,0,0,0,6,1127,113,111,1019,102
1354,015,2,2,0,0,1,42941,6,102,103,113,113
1355,030,2,2,0,0,1,43041,4,101,103,133,154432934
1356,040,2,2,0,0,1,43241,4,113,103,113,131
1358,015,2,3,0,0,0,4,1337,10401,202,1617,121
1359,1515,2,3,0,0,0,4,1029,233,1139,113,113
1360,1530,2,3,0,0,0,63141,4,113,112,101,102
1361,1540,2,3,0,0,0,4,1028,101,101,101,103
1362,3040,2,3,0,0,0,4,1328,101,1017,101,1017
1363,00,3,3,0,0,1,6293241,4,101,101,101,1017
1364,150,3,3,0,0,1,62941,5,113,113,113,112
1365,1515,3,3,0,0,1,62941,4,101,103,113,111
1366,1530,3,3,0,0,1,6,123,113,113,191,18453
1367,3030,3,3,0,0,1,43041,4,101,102,101,113
1368,3040,3,3,0,0,1,6,1229,1039,1137,102,103
1377,3015,3,5,0,0,1,63041,4,112,102,103,112
1378,3030,3,5,0,0,1,42941,4,102,113,113,112
1385,00,0,0,0,1,1,43041,5,112,1139,113,10128
1388,3015,0,0,0,1,1,4,113,103,113,101,103
1389,4015,0,0,0,1,1,6,112,24403,111,14441,1045328
1396,3040,1,0,0,1,0,4293241,4,113,112,112,191
1397,4040,1,0,0,1,0,4,1019,103,133,113,133
1399,00,1,1,0,1,1,42941,4,10421,101,102,1133134
1401,1515,1,1,0,1,1,42941,4,101,102,1137,1329
1402,3015,1,1,0,1,1,6,103,113,112,111,103
1403,3030,1,1,0,1,1,43041,6,113,113,113,1118
1404,4030,1,1,0,1,1,6,1239,1038,113,133,1139
1407,00,2,1,0,1,0,4,1217,101,103,111,101
1409,300,2,1,0,1,0,43241,6,1127,113,111,1013135
1410,3015,2,1,0,1,0,4,112,103,113,113,132
1412,00,2,2,0,1,1,42941,4,101,102,113,131
1421,00,3,3,0,1,1,4,102,101,102,102,103
1422,150,3,3,0,1,1,4293141,5,113,113,113,113
1430,00,4,4,0,1,1,63141,4,102,101,102,11423
1433,3015,4,4,0,1,1,3943041,6,103,111,102,113
1434,3030,4,4,0,1,1,4402941,4,102,113,113,133
1436,00,5,4,0,1,0,3341,4,101,103,113,113
1437,015,5,4,0,1,0,4,1129,101,121,101,1212935
1439,3015,5,4,0,1,0,42941,6,103,113,133,113
1440,4015,5,4,0,1,0,4,122,103,111,102,113
1441,4030,5,4,0,1,0,63141,5,113,113,133,113
1443,150,5,5,0,1,1,42941,5,113,111,102,1133034
1445,3015,5,5,0,1,1,4,112,101,103,113,113
1452,00,6,6,0,1,1,4,1038,1137,13453,101,101
1453,10,6,6,0,1,0,6,1039,112,103,112,101
1454,11,6,6,0,1,0,4,122,113,113,111,101
1456,31,6,6,0,1,1,4,101,101,102,113,113
