,Pts_A,Pts_B,Gm1,Gm2,Set1,Set2,0_dir
407,30,0,1,4,1,0,4
408,40,0,1,4,1,0,6
409,0,0,2,5,1,0,6
410,15,0,2,5,1,0,4
412,40,0,2,5,1,0,6
413,40,15,2,5,1,0,4
414,0,0,0,0,1,1,6
415,15,0,0,0,1,1,4
416,30,0,0,0,1,1,6
417,30,15,0,0,1,1,4
418,40,15,0,0,1,1,4
419,0,0,1,1,1,1,6
420,15,0,1,1,1,1,6
421,30,0,1,1,1,1,4
422,40,0,1,1,1,1,4
423,0,0,3,1,1,1,4
424,15,0,3,1,1,1,6
425,30,0,3,1,1,1,4
426,30,15,3,1,1,1,4
427,30,30,3,1,1,1,4
428,40,30,3,1,1,1,5
429,40,40,3,1,1,1,6
430,40,50,3,1,1,1,6
431,0,0,3,3,1,1,6
432,15,0,3,3,1,1,4
433,15,15,3,3,1,1,4
434,30,15,3,3,1,1,6
435,40,15,3,3,1,1,4
436,40,30,3,3,1,1,6
437,0,0,4,4,1,1,5
438,15,0,4,4,1,1,6
439,15,15,4,4,1,1,4
440,30,15,4,4,1,1,6
441,40,15,4,4,1,1,6
442,0,0,5,5,1,1,6
443,15,0,5,5,1,1,6
444,30,0,5,5,1,1,4
445,30,15,5,5,1,1,4
446,30,30,5,5,1,1,6
448,0,0,0,0,0,0,4
449,15,0,0,0,0,0,4
450,30,0,0,0,0,0,6
451,40,0,0,0,0,0,4
452,0,0,1,1,0,0,6
453,15,0,1,1,0,0,4
454,30,0,1,1,0,0,6
455,40,0,1,1,0,0,4
456,0,0,2,2,0,0,4
457,15,0,2,2,0,0,6
458,15,15,2,2,0,0,4
459,30,15,2,2,0,0,4
460,40,15,2,2,0,0,4
461,0,0,4,2,0,0,4
462,15,0,4,2,0,0,6
463,30,0,4,2,0,0,4
464,40,0,4,2,0,0,6
465,0,0,0,0,1,0,6
466,15,0,0,0,1,0,6
467,30,0,0,0,1,0,4
468,40,0,0,0,1,0,6
469,40,15,0,0,1,0,6
470,0,0,1,1,1,0,6
471,0,15,1,1,1,0,4
472,15,15,1,1,1,0,4
473,30,15,1,1,1,0,6
474,30,30,1,1,1,0,4
475,40,30,1,1,1,0,4
476,0,0,2,2,1,0,6
477,0,15,2,2,1,0,6
478,15,15,2,2,1,0,6
479,15,30,2,2,1,0,4
480,30,30,2,2,1,0,5
481,30,40,2,2,1,0,4
482,0,0,2,4,1,0,4
483,15,0,2,4,1,0,4
484,30,0,2,4,1,0,6
485,40,0,2,4,1,0,6
486,0,0,3,5,1,0,4
488,15,15,3,5,1,0,4
