,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
195,"4x,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,6,b29,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"4n,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,4,f38,b3,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4,b39,b1,f1,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,c6+,s3,z2,l#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"5n,",4,b29,f3,f1,f1,f2,b+3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,6,b29,f3,b3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,4,f19,f2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"6d,",6,r29,f1,f2,f3,s2,f1,f3,b3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"4n,",5,b38,b2,b1,f1,f1,r1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,4,b28,f2,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,6,b29,f3,b2,f1,f+3,s3,z1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"4d,",6,r28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4,s18,f+1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,5,f18,f1,f1,f1,f1,f2,f+3,b1,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,6,f38,b3,s2,b2,b1,f3,b!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,6,b39C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,6,f38,b1,f1,f2,f2,b1,f1,f3,b2,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,
216,4,f19,f3,b3,b2,f+1,f2,v3,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"5d,",4,f37,b3,f1,f2,f3,b2,f3,b3,b3,b2,f1,f2,f1,f1,f+1,r3,z2,f2,z1n@,,,,,,,,,,,,,,,,,
