,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
197,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,5,b28,f18,f18,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"6n,",6,b28,f38,b28,f28,f19,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,6,b28,f38,b38,b38,b29,f28,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"4d,",5,b38,b38,y+17,r-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6w,",4,b37,f18,f29,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,4,f29,f39,b38,f18,f19,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"6d,",5,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"6n,",5,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,6,b28,f38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"4n,",4+,b2,v18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"6d,",5+,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,f28,u+17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,4,b29,f18,f17,u+37,y-37,s-18,l1,o17,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"4n,",5,b28,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"4n,",6,b29,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,4,b38,f18,r39,f38,s29,f17,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"4n,",6,b37,b+38,s2,z^17,r-39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"4d,",5,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"6w,",6,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"4d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
