,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
168,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,4,f29,f2,b2,b2,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,6,b29,f2,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"4d,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,6,b28,b3,b3,y1,f-3,z2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,4,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6d,",6,b27,f3,b2,f1,f2,b3,b3,b2,b1,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,6,f28,b3,s2,s1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"4x,",5,b28,b2,b2,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,4,b29,f3,b3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"6d,",6,b19,f1,f3,s2,f1,f1,f1,f3,b2,f1,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,6,f29,f3,b3,b2,f1,f2,b2,b2,f3,s3,s3,s3,b2,b;3,b3,f2,b3,s1,v3*,,,,,,,,,,,,,,,,,,,,,,,,,
181,6,b29,f3,b3,f1,f2,f2,f2,r1,f1,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,6,f17,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,4,f29,f2,b2,f2,f1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,6,b28,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,6,f28,f3,b3,f3,s1,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6d,",6,f29,f2,f2,b2,b3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4x,",6,b29,f1,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,4,b29,f1,f1,f1,f+3,b3,z1,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,6,f28,f1,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,5,f27,b3,b2,f1,f2,b3,s3,b3,b1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,4,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"6n,",6,b37,b2,b2,f1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"6w,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,6,f18,f1,f1,f1,f3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"6n,",6,b27,u1,f-;3,z2,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"4n,",4,b19,f2,b1,r2,b+3,b3,z2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"6n,",4,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"4d,",6,b29,f2,f3,b2,f1,f1,f+3,b3,z1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"6d,",6,f29,f1,f1,f1,f2,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6w,",5,f27,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,4,b29,f1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,6,b18,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"6n,",6,b19,f1,f1,f2,f1,f1,f3,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4,f17,r2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4,b38,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,4,f27,y1,f-1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,4,f29,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"4w,",4,b38,b2,f3,b2,f3,b2,b3,b3,b3,b2,f2,f+3,s2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"4w,",4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"4n,",4,f29,b2,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"6n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,6,f28,f2,b3,b3,b2,f1,f2,f2,f1,f1,f1,f2,f1,f2,f2,b3,s2,f1,f2,b2,s1,f1,f1,f2n@,,,,,,,,,,,,,,,,,,,,
220,"6w,",5,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,b28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"6n,",6,f29,f1,f3,b3,s2,f2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,6,b28,u1,f-3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"6w,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"6d,",5,b27,f3,b3,b3,b2,f2,f1,f1,f3,b3,b3,b2,f3,b3,b3,b2,f2,f3,b3,b1,r2d#,,,,,,,,,,,,,,,,,,,,,,
227,6,f28,r3,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"6d,",4,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
