,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
160,"5d,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"6n,",4,b29,f;28,f+39,b37,b-37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,5,b28,f28,b29,b28,f38,b38,b37,b28,f19,f18,f38,s29,f19,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,
163,5,b38,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,6,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4,f27,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"6d,",4,b39,b28,f17,f18,f18,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"6d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,6,r28,f19,f29,f28,f29,f27,f38,b38,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"5d,",5,f37,b38,b39,b29,b38,b39,b;27,f+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,5,b27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"6w,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,4,b29,f38,b27,f28,f38,b+39,b28,h3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,4,f29,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,6,r27,f+38,m3,o27,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,4,f29,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,4,b29,f18,r27,b+38,b1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,6,b17,f39,b28,b38,b27,f19,f28,f17,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"6n,",5,b28,f27,b18,f29,b28,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,4,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,6,r17,f-38,b37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"6n,",5,f28,b38,b38,b39,b28,f28,f29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"6n,",5,f27,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"4n,",6,f38,s29,f+37,s1,v3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"6n,",5,b37,b;38,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"6n,",5,f29,f28,b!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,6,f39,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4n,",6,f27,b28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4n,",5,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,6,f39,f38,b38,b28,f27,f38,s37,s18,f18,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
