,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
169,4,s28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,5+,s2,z38,m2,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,6,b28,b+37,s2,v19,l2,v37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"6d,",5,b27,f29,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,4,f19,f27,s39,s38,s19,f29,b29,b37,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"4n,",5,f18,f18,f29,b28,f39,b38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"4n,",4,b39,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,5+,s2,z39,m1,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,6,f29,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"4n,",4,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"4n,",6,b29,f18,f18,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"4d,",5,b28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,4,r;27,r+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"6x,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6n,",6,b29,f38,b38,s38,f19,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"6d,",4,b28,b39,b38,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"4n,",5,b29,f19,f18,f29,f38,s28,f19,f17,f19,f18,f38,s29,f18,l19,o=17,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,
191,6+,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"6d,",4,s3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,6,s28,f17,f38,s39,b19,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"4n,",4,b28,f19,r28,u1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"4+*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,6,r28,f+19,l1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,6,s29,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,5,s29,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"6d,",4,b29,f1,f2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,c5,s27,r3,b3,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,6,f39,b3,b2,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"c4n,",5+,b2,z^1,f-1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"6+n,",4,f27,f+3,b1,v1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,4+,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"6n,",c6,b27,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,5,r1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,s28,f3,b2,f1,f3,b3,s2,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"6n,",6,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"4x,",4,s38,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,4,f28,f+3,s1,v@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,4,s28,f+1,l2,o3,m2,o3,m1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"6n,",6,b+38,b3,z1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"4d,",5,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,4+,f2,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,4+,b3,z2,l3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,6,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"4+n,",4,b19,f1,r2,f+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"6d,",c6,b28,f+1,r3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,f28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"6n,",4,b29,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,c6,s17,f+3,m3,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"4w,",4,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"e,",5,b37,b2,f1,f+3,s3,i1,r-1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,5,b38,b1,f1,f2,b2,f3,b3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"4d,",6,b19,f2,b+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"5d,",4,b18,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,6,s28,f1,f2,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"6n,",4,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"6w,",5,b27,f3,s3,f+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,c4,b1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"6w,",4,b28,f3,b3,b3,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
