,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
141,"4w,",6,b2,b2,b2,b2,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"4n,",4,b3,b2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"4n,",6,f1,f2,f1,f3,b2,b2,b2,f2,b2,b2,b2,b2,b2,b2,b2,b3,b1w@,,,,,,,,,,,,,,,,,
144,6,f2,f2,f2,f2,b2,f1,f2,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4,f2,f2,b2,b2,b2,b2,b2,f1,r3,b2,b2,f2,b3*,,,,,,,,,,,,,,,,,,,,,,
146,6,f3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,b2,f1,f3,b3,s2,z1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"6d,",5,b2,f2,f1,f1,f2,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,6,s3,b1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"6w,",5,b2,f2,b+1,r2,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,4,f1,r2,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,4,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,6,b3,f2,b2,f1,f3,b3,b2,b1,f1,f1,f3,b3,s2,f1*,,,,,,,,,,,,,,,,,,,,,
154,"6d,",5,b2,f1,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,4,f2,f3,b2,b3,b2,y3,y^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,4,b2,y1,u^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,4,f2,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,6+,f2,u^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"4n,",6,f2,f2,f1,f1,f;2,f3,b2,b3,b3,b1,r3,b2,b3,s2,f3*,,,,,,,,,,,,,,,,,,,
160,4,b2,b2,f1,f3,b2,f1,r2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"4d,",5,f1,r1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"4n,",6,f2,f3,b2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,6,f2,f1,r2,f3,b2,b2,f1,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4,b2,b1,r2,b3,b3,s3,y3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4+,f1,v3,b2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"4d,",4,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,6,b2,f2,f2,f2,f2,b2,b3,b2,b3,b3,b3,b2,r2,f2,f1,f1,f3n#,,,,,,,,,,,,,,,,,,
170,6,r2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,f2,f3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,6,f2,f2,f3,b2,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6n,",6,b2,f1,f2,b3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"6d,",6,b2,f2,b2,b1,r2,b2,b3,b1,r2,f1,f+2,s2,z1*,,,,,,,,,,,,,,,,,,,,,
175,"4d,",4,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"6w,",5,f1,f;2,f2,f2,f1,r2,y3,f-3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,
177,"6w,",4,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"5n,",6,b3,b2,b3,b2,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"6d,",4,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,6,f2,f3,b2,r2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"4+#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
