,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
319081,50,40,2,2,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
319083,50,40,2,2,0,0,1,"['4nwdx,', '6', 'b38', '19', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
319087,50,40,2,2,0,0,1,"['4nwdx,', '6', 'b38', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
319125,40,50,5,3,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b29', '38', 'f19', '29', 'b39', '39', 'b39', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,12,False,True
319131,50,40,5,3,0,0,1,"['4nwdx,', '6', 'b28', '39', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
319140,40,0,0,1,1,0,1,"['4nwdx,', '6', 's38', '28', 'z28', '19', 'f18', '39', 'b19', '29', 'f28', '39', 'b38', '28', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,15,False,True
319149,30,15,1,2,1,0,1,"['4nwdx,', '6', 'b29', '38', 'b38', '37', 'b27nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319173,30,15,3,4,1,0,1,"['4nwdx,', '6', 'b28', '37', 'b19', '39', 'b19', '39', 's39', '29', 'f18', '18', 'f39', '39', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,15,False,True
319197,0,15,5,6,1,0,1,"['4nwdx,', '6', 'b28', '38', 'b37*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
319230,15,0,1,1,1,1,1,"['4nwdx,', '6', 'b18', '29', 'f39', '17', 'f28nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319248,30,40,2,2,1,1,1,"['4nwdx,', '6', 'b28', '37', 'b29', '29', 's38', '18', 'f18', '29', 's37', '18*']",sel_uct,dec_greedy,djoko_bot,A,12,False,True
319258,0,40,3,3,1,1,1,"['4nwdx,', '6', 'f18', '28', 'f18', '29', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
319264,15,0,4,4,1,1,1,"['4nwdx,', '6', 'b27', '39', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
319266,40,0,4,4,1,1,1,"['4nwdx,', '6', 'b29', '39', 'b19', '29', 'f39', '19', 'f39', '18', 'f17', '37', 's39', '37*']",sel_uct,dec_greedy,djoko_bot,A,14,False,True
319306,15,0,0,1,0,0,1,"['4nwdx,', '6', 'b38', '18', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
319310,40,30,0,1,0,0,1,"['4nwdx,', '6', 'f28', '19', 'f19', '38', 's39', '19', 'f37', '17*']",sel_uct,dec_greedy,djoko_bot,A,10,False,True
319317,15,0,1,2,0,0,1,"['4nwdx,', '6', 'b28', '39*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
319319,30,15,1,2,0,0,1,"['4nwdx,', '6', 'b29', '39', 'b39', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
319330,15,0,1,4,0,0,1,"['4nwdx,', '6', 'b38', '19', 'f18', '39', 's29', '28', 'r27nwdx']",sel_uct,dec_greedy,djoko_bot,A,9,False,True
319380,15,0,0,1,0,1,1,"['4nwdx,', '6', 'b39', '39', 'o28', '17*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
319386,40,50,0,1,0,1,1,"['4nwdx,', '6', 'b39', '37', 'f38', '18', 'r28', '38', 'b28', '29', 'b38', '19', 'f28', '37', 'b37', '18', 'f28', '38', 'b39', '28', 'f29', '38', 'b38', '18', 'f28', '38', 'b39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,28,False,True
319400,0,15,1,2,0,1,1,"['4nwdx,', '6', 'b28', '38', 'f19', '28', 'o38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
319413,40,0,2,3,0,1,1,"['4nwdx,', '6', 'b29', '39', 'b29', '28', 'f28nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319431,15,0,4,3,0,1,1,"['4nwdx,', '6', 'b37', '39', 'b29', '28', 'b17', '38*']",sel_uct,dec_greedy,djoko_bot,A,8,False,True
319433,30,15,4,3,0,1,1,"['4nwdx,', '6', 'b39', '39', 'b37', '19', 'r39', '17', 'f19', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,False,True
319437,40,50,4,3,0,1,1,"['4nwdx,', '6', 's38', '29', 'y17', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
319461,40,50,5,4,0,1,1,"['4nwdx,', '6', 'b28', '38', 'b27', '39', 'b19', '18', 'f29', '38', 'f19', '38', 'f38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,14,False,True
319485,0,15,1,0,1,1,1,"['4nwdx,', '6', 'b18', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
319522,30,15,4,3,1,1,1,"['4nwdx,', '6', 'b28', '38', 's19', '37', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319538,40,0,5,4,1,1,1,"['4nwdx,', '6', 'b28', '38', 's28', '29', 'b38', '28', 'f38', '18*']",sel_uct,dec_greedy,djoko_bot,A,10,False,True
319560,30,15,1,2,0,0,1,"['4nwdx,', '6', 'b28', '39', 'b38', '18', 'l29', '17', 'f39', '38', 'b39', '17', 'f39nwdx']",sel_uct,dec_greedy,djoko_bot,A,13,False,True
319562,40,30,1,2,0,0,1,"['4nwdx,', '6', 'b28', '39', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
319573,30,40,2,3,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b19', '18', 'f29', '18', 'f19', '29', 'f29', '28', 'f29', '19', 'f18', '19', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,17,False,True
319580,15,0,2,5,0,0,1,"['4nwdx,', '6', 'b28', '39', 'b19', '38', 's28nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319582,40,0,2,5,0,0,1,"['4nwdx,', '6', 'b28', '39', 'b38', '18', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319613,15,30,1,3,0,1,1,"['4nwdx,', '6', 'b18', '28', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
319630,15,30,2,4,0,1,1,"['4nwdx,', '6', 'b28', '38', 'b29', '39', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319641,0,15,0,0,0,0,1,"['4nwdx,', '6', 'b27', '38', 'b38', '18', 'f38', '19', 'f18', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,False,True
319643,15,30,0,0,0,0,1,"['4nwdx,', '6', 'b27', '38', 'z38', '19', 'f39', '29', 'f19', '18', 'f19', '19', 'f29', '18', 'f18', '19', 'f19', '38', 'b39*']",sel_uct,dec_greedy,djoko_bot,B,19,False,True
319662,50,40,1,1,0,0,1,"['4nwdx,', '6', 'b28', '39', 'z39', '39', 'b39', '19', 'r18', '18', 'f28', '19', 'l28', '29', 'b37', '38', 'b38', '17*']",sel_uct,dec_greedy,djoko_bot,A,18,False,True
319670,15,30,2,2,0,0,1,"['4nwdx,', '6', 'b28', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
319672,30,40,2,2,0,0,1,"['4nwdx,', '6', 'b37', '38*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
319705,15,30,0,0,0,1,1,"['4nwdx,', '6', 'b29', '38', 's19', '39', 'y18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
319714,15,0,0,2,0,1,1,"['4nwdx,', '6', 'b28', '37', 'b38', '28', 'f19', '19*']",sel_uct,dec_greedy,djoko_bot,A,8,False,True
319716,40,0,0,2,0,1,1,"['4nwdx,', '6', 'f27', '37', 'b19', '39', 'b29', '17', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,9,False,True
319724,30,15,1,3,0,1,1,"['4nwdx,', '6', 'b28', '39', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
319726,30,40,1,3,0,1,1,"['4nwdx,', '6', 'b28', '39', 'o39', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
319732,15,0,1,5,0,1,1,"['4nwdx,', '6', 's28', '28', 'f17', '37', 'b39', '29', 'f19', '17', 'f28', '37', 'b39', '28', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,15,False,True
319752,15,0,1,1,0,0,1,"['4nwdx,', '6', 'b38', '18', 'r18', '37', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319756,40,30,1,1,0,0,1,"['4nwdx,', '6', 'b28', '39', 's38', '19', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,7,False,True
319767,30,15,3,1,0,0,1,"['4nwdx,', '6', 'b29', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
319783,30,40,4,2,0,0,1,"['4nwdx,', '6', 'b28', '39', 'b38', '18', 'l38', '18', 'f18', '38', 's28', '18*']",sel_uct,dec_greedy,djoko_bot,A,12,False,True
319803,15,0,0,0,1,0,1,"['4nwdx,', '6', 'b37', '39', 'b39', '28', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319805,40,0,0,0,1,0,1,"['4nwdx,', '6', 'b37', '39', 'b38', '17', 'f18', '18', 'f17nwdx']",sel_uct,dec_greedy,djoko_bot,A,9,False,True
319816,0,15,0,2,1,0,1,"['4nwdx,', '6', 'b29', '39', 'b37', '17', 'f18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
319822,50,40,0,2,1,0,1,"['4nwdx,', '6', 'b28', '39*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
319832,0,15,2,2,1,0,1,"['4nwdx,', '6', 'b39', '39', 's39*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
319843,40,0,3,3,1,0,1,"['4nwdx,', '6', 'b37', '38', 'm18nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
319874,0,15,1,1,0,0,1,"['4nwdx,', '6', 'b28', '39', 'b28', '19', 'f28', '18', 'f18', '29', 'f39', '29', 'f38', '38', 'b28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,16,False,True
319878,40,30,1,1,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
319896,50,40,2,2,0,0,1,"['4nwdx,', '6', 'b18', '28', 'f27', '28', 'b17nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
319938,40,0,1,1,0,1,1,"['4nwdx,', '6', 's28', '28', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
319940,40,30,1,1,0,1,1,"['4nwdx,', '6', 'b28', '38', 'b38', '29', 'b18', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
319948,40,0,2,2,0,1,1,"['4nwdx,', '6', 'b37', '39', 'f37', '38', 'b38', '28', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,10,False,True
319962,40,30,4,2,0,1,1,"['4nwdx,', '6', 'b27', '39', 'b38', '38', 's39', '28', 'f38', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,False,True
319971,40,0,5,3,0,1,1,"['4nwdx,', '6', 'b38', '18', 'r39', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
320002,40,30,2,1,1,1,1,"['4nwdx,', '6', 'b38', '19', 'f39', '27', 'b28', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
320021,15,0,5,2,1,1,1,"['4nwdx,', '6', 'b28', '38', 's29', '28', 'b37', '19*']",sel_uct,dec_greedy,djoko_bot,A,8,False,True
320032,0,15,0,1,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b28', '18', 'f39', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
320043,0,15,1,2,0,0,1,"['4nwdx,', '6', 'b29', '39', 'b38', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
320063,0,15,1,4,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b38', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
320065,0,40,1,4,0,0,1,"['4nwdx,', '6', 'b28', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
