,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
319849,0,0,4,4,1,0,1,"['4nwdx,', '6', '29', 'b28', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
319887,0,0,2,2,0,0,1,"['4nwdx,', '5', '18', 'f27', '39', 's39', '28', 'b38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,False,False
319889,15,15,2,2,0,0,1,"['4nwdx,', '6', 'f39', '17', 'r29', '28', 'f39', '19', 'f18', '18', 'f19', '28', 'f39', '29', 's38', '19', 'f17', '38', 'b38', '18*']",sel_uct,dec_greedy,djoko_bot,A,20,False,False
319919,40,40,3,5,0,0,1,"['4nwdx,', '6', 'f37', '38', 'b18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
319959,30,0,4,2,0,1,1,"['4nwdx,', '6', 'f28', '17*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319961,40,15,4,2,0,1,1,"['4nwdx,', '6', 'f28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319984,30,30,0,1,1,1,1,"['4nwdx,', '6', 'f29', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319988,40,40,0,1,1,1,1,"['4nwdx,', '6', 'f37', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
320009,15,15,3,2,1,1,1,"['4nwdx,', '6', 'f39', '18', 'f19', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
320022,30,0,5,2,1,1,1,"['4nwdx,', '6', 'f28', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
320024,40,15,5,2,1,1,1,"['4nwdx,', '6', 'f18', '28', 'b19', '38', 'b18', '18*']",sel_uct,dec_greedy,djoko_bot,A,8,False,False
320035,40,15,0,1,0,0,1,"['4nwdx,', '6', 'f27', '38', 'b37', '27', 'f19', '38', 'b39', '19', 'f17', '38', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,14,False,False
320044,0,30,1,2,0,0,1,"['4nwdx,', '6', 'f27', '38', 'f29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
320050,40,40,1,2,0,0,1,"['4nwdx,', '6', 'f27', '38*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
320062,0,0,1,4,0,0,1,"['4nwdx,', '6', '29', 'f27', '38', 'b38', '39', 'b39', '38', 'b38', '19', 'f28', '37', 'b28', '38', 'b38', '37', 'b39', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,19,False,False
320078,40,40,0,0,0,1,1,"['4nwdx,', '6', 'f28', '19', 'f39', '29', 'f39', '27', 'f19', '39', 'b19', '29', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,13,False,False
320086,0,0,2,0,0,1,1,"['4nwdx,', '6', '28', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
320098,30,0,3,1,0,1,1,"['4nwdx,', '6', 'f19', '17*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
320100,40,15,3,1,0,1,1,"['4nwdx,', '6', 'f29', '28', 's28', '18', 'f18', '17', 'f17', '29', 'b29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,12,False,False
320110,30,30,4,2,0,1,1,"['4nwdx,', '6', 'f37', '37', 'b28', '29', 'b19', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,False
