,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
331064,15,15,4,2,0,0,1,"['4', 'b27', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
331066,30,30,4,2,0,0,1,"['4', 'b29', '17', 'v19', '19', 'r38', '19', 'f18', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,False
331078,30,30,0,0,1,0,1,"['4', 'b38', '18', 'r29', '19', 'f19', '39', 'b39', '18', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,False
331084,0,0,1,1,1,0,1,"['4', '38', 'b39', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
331086,30,0,1,1,1,0,1,"['4', 'b28', '38', 'b38', '19', 'f29', '28', 'f29', '38', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,10,True,False
331093,0,0,3,1,1,0,1,"['6', '37', 'b28', '18', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,True,False
331095,30,0,3,1,1,0,1,"['4', 's27', '19', 'f17', '17', 'f28nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
331117,0,0,4,2,1,0,1,"['6', '39', 'y18', '39', 'f29', '18', 'f19', '29', 'b37', '18', 'v17*']",sel_uct,dec_greedy,djoko_bot,B,11,True,False
331125,0,0,5,3,1,0,1,"['6', '39', 'f38', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
331127,15,15,5,3,1,0,1,"['4', 'b38', '18', 'r28', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
331129,30,30,5,3,1,0,1,"['4', 's39', '37', 'b38', '29', 'f29', '29', 'f28', '19', 'f28', '19', 'f19', '19', 'f17', '28', 'f28', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,17,True,False
331140,40,15,0,1,0,0,1,"['4', 'b19', '39*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
331147,0,0,1,2,0,0,1,"['6', '37', 'f37', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
331149,0,30,1,2,0,0,1,"['4', 'b37', '18', 'f29', '19', 'f18', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,False
331151,30,30,1,2,0,0,1,"['4', 's19', '18', 'f17nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
331153,40,40,1,2,0,0,1,"['4', 'b28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
331160,0,0,2,3,0,0,1,"['4', '38', 'f38', '29', 'f28', '18', 'f27', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,True,False
331162,30,0,2,3,0,0,1,"['4', 'b39', '18', 'l29', '37', 'b38', '18*']",sel_uct,dec_greedy,djoko_bot,A,7,True,False
331170,0,0,3,4,0,0,1,"['4', '38', 'b38', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
331172,15,15,3,4,0,0,1,"['4', 'b18', '19', 'f39', '29', 'b28', '27', 'f29', '19', 'f39', '38', 'b38', '19', 'f28', '28', 'b27', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,17,True,False
331174,40,15,3,4,0,0,1,"['4', 'b28', '39*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
331184,0,0,4,5,0,0,1,"['6', '38', 'b38', '18', 'f28', '28', 'f29', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,True,False
331188,15,40,4,5,0,0,1,"['4', 'b38', '18', 'v39nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
331200,30,30,1,0,0,1,1,"['4', 'b28', '38', 'b19*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
