,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
318803,30,15,2,2,0,0,1,"['4', 'f18', '39', 'b37', '19*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318811,0,15,3,3,0,0,1,"['4', 'f19', '28', 'b18', '18', 'f28', '29', 'f29', '37', 'b28', '38', 'b27', '18', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,15,True,True
318819,40,50,3,3,0,0,1,"['4', 'f18', '38', 'm29', '38', 'b18', '29', 'f38', '18', 'f29', '28', 'f18', '29', 'b39', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,15,True,True
318827,30,15,3,5,0,0,1,"['4', 'f19', '28', 'b38', '38', 'b28', '39', 'b19', '29', 'm27', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,True
318829,40,30,3,5,0,0,1,"['4', 'f27', '29', 'f27', '29', 'o18', '19', 'f18', '19', 'f28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,True
318849,15,0,1,2,0,1,1,"['4', 'f28', '38', 'b38', '37', 's39', '28', 'f17', '37', 'b39', '38', 'b39', '29', 'f18', '18', 'f28', '18*']",sel_uct,dec_greedy,djoko_bot,A,17,True,True
318853,40,30,1,2,0,1,1,"['4', 'f29', '38*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318862,0,15,1,4,0,1,1,"['4', 'f29', '37', 'b19', '29', 's38', '19', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,8,True,True
318872,15,0,0,0,0,0,1,"['4', 'f39', '39', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318886,0,15,1,1,0,0,1,"['4', 'f27', '29', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,4,True,True
318888,15,30,1,1,0,0,1,"['4', 'f17', '39', 'b38', '29', 'b37', '38', 'b29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,True
318895,15,0,1,3,0,0,1,"['4', 'f18', '37', 'y39', '38', 'b29', '38', 'b18', '39', 'b38', '38', 'f37nwdx']",sel_uct,dec_greedy,djoko_bot,A,12,True,True
318907,30,15,2,4,0,0,1,"['4', 'f28', '38', 's39', '18', 'f19', '18', 'f38', '37', 'b39', '28', 's29', '28', 'f39', '28', 'f19', '38', 'b39', '18', 'f38', '19', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,22,True,True
318909,30,40,2,4,0,0,1,"['4', 'f28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318927,0,15,1,1,0,1,1,"['4', 'f17', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318933,40,50,1,1,0,1,1,"['4', 'f28', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318935,50,40,1,1,0,1,1,"['4', 'f28', '38', 'b39', '19*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318961,30,15,4,4,0,1,1,"['4', 'r17', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318968,0,15,5,5,0,1,1,"['4', 'b29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318972,30,40,5,5,0,1,1,"['4', 'f19', '19', 'r19', '28', 'b17', '39', 'b18*']",sel_uct,dec_greedy,djoko_bot,B,8,True,True
318974,40,50,5,5,0,1,1,"['4', 'f28', '38', 's27', '28', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,6,True,True
318976,50,40,5,5,0,1,1,"['4', 'f39', '38', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318985,30,15,0,0,1,1,1,"['4', 'r27', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318993,15,0,1,1,1,1,1,"['4', 'f28', '37', 'y19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318997,30,40,1,1,1,1,1,"['4', 'f29', '38', 'b29', '29', 'b38', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,True
318999,40,50,1,1,1,1,1,"['4', 'f18', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319018,0,15,2,4,1,1,1,"['4', 'r18', '29', 'b29', '38', 'b38', '29', 'f38', '28', 'f19', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,True
319075,30,15,2,2,0,0,1,"['4', 'f28', '39', 'b39*']",sel_uct,dec_greedy,djoko_bot,B,4,True,True
319079,50,40,2,2,0,0,1,"['4', 'r29', '37*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
319085,40,50,2,2,0,0,1,"['4', 'f28', '38', 's38', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
319095,15,0,4,2,0,0,1,"['4', 'f38', '18*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
319099,30,40,4,2,0,0,1,"['4', 'f29', '37', 'b39nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
319101,40,50,4,2,0,0,1,"['4', 'f27', '28', 'f18', '39', 'f37', '38', 'm28', '38', 'b38', '19', 'f38', '18', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,14,True,True
319119,40,30,5,3,0,0,1,"['4', 'f28', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319121,40,50,5,3,0,0,1,"['4', 'f18', '38', 'b39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
319123,40,50,5,3,0,0,1,"['4', 'f39', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
319127,40,50,5,3,0,0,1,"['4', 'f18', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
